Price,Close,High,Low,Open,Volume,Returns,Volatility
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,
Date,,,,,,,
2021-03-17,121.62938690185547,122.7017830040472,119.27010655149442,120.93720389555035,111932600,-0.64506330414007,2.407644036136739
2021-03-18,117.50552368164062,120.08902837100626,117.30079413178964,119.79655333524822,121229700,-3.390515503907332,2.5079461066666244
2021-03-19,116.97908020019531,118.38294855656439,116.67686143267959,116.89134214689703,185549500,-0.4480159442305176,2.505684315817649
2021-03-22,120.29377746582031,120.76173611147584,117.24232114898952,117.31056434336112,111912300,2.8335812351681255,2.5235315288435958
2021-03-23,119.46509552001953,121.1224343178664,119.07513126230569,120.23527288356823,95467100,-0.6888818052423695,2.5272769647030713
2021-03-24,117.07656860351562,119.81606211005297,117.05707373778829,119.73806777124454,88530500,-1.9993512800595803,2.5621943317137386
2021-03-25,117.56401062011719,118.60716806474952,116.01391233642575,116.54036291521213,98844700,0.41634463874005156,2.443841112101708
2021-03-26,118.1684799194336,118.4317089821302,115.93594193373995,117.33005928068575,94071200,0.5141618562755745,2.4460321536744645
2021-03-29,118.34395599365234,119.50409766319855,117.70052126390267,118.59743388740822,80819200,0.14849651475452585,2.0976679311307245
2021-03-30,116.89134979248047,117.37880328833072,115.87744562855794,117.09607936818357,85671900,-1.2274443497983012,2.0661980231793153
2021-03-31,119.08486938476562,120.42048696601859,118.10996256612317,118.5974159754444,118323800,1.8765456949375148,2.0440528880000874
2021-04-01,119.91353607177734,121.06392639014648,119.41633152251266,120.55697812823146,75089100,0.6958622798117764,2.013146336011596
2021-04-05,122.74079132080078,122.99426922039768,119.98180275866349,120.76173132452315,88651200,2.3577448732152506,2.0643968490614615
2021-04-06,123.04299926757812,123.93991183273825,122.49705378234141,123.32572316184695,80171300,0.2462163910834425,1.7905175411480887
2021-04-07,124.69058227539062,124.71007713886019,121.99983740172254,122.67252547962673,83466700,1.339030272034858,1.591304610431592
2021-04-08,127.0888900756836,127.1181360985941,125.2950645829636,125.7142674952822,88844600,1.9234073307927035,1.6049953904835486
2021-04-09,129.66262817382812,129.70161790758218,126.22120772891054,126.54292881700623,106686700,2.0251479862730903,1.6221185796973951
2021-04-12,127.9468002319336,129.51640109938154,127.35210636598374,129.19468000377913,91420000,-1.32330183805488,1.6487482041959893
2021-04-13,131.05673217773438,131.28097148351077,128.61946483937675,129.11667689697725,91266500,2.4306445648998753,1.6477790971996344
2021-04-14,128.71697998046875,131.6124551846021,128.35626912284386,131.55396314021985,87222800,-1.7852972208192597,1.7051193465879737
2021-04-15,131.12498474121094,131.61243821608534,130.286564169391,130.46205515581354,89347100,1.870774750236981,1.7271090235043247
2021-04-16,130.79351806640625,131.29071524829968,129.9355952026849,130.93000444237106,84922400,-0.25278681668400305,1.4920678437037458
2021-04-19,131.45643615722656,132.07063223335706,129.99407588140957,130.1598082608944,94264200,0.5068432294051073,1.4736956911665935
2021-04-20,129.76986694335938,132.12914001786334,128.5024849113631,131.63194282012853,94812300,-1.282987172914063,1.4315113368369083
2021-04-21,130.1501007080078,130.3938274883599,128.00530801609,129.03870718463844,68847100,0.2930062067601602,1.4092430424697808
2021-04-22,128.62924194335938,130.7837782500738,128.11254238332913,129.70163080104982,84566500,-1.1685421343318736,1.3443459065795231
2021-04-23,130.9495086669922,131.72942232628785,128.84370608473515,128.84370608473515,78657500,1.8038407819075175,1.3762986402332518
2021-04-26,131.33949279785156,131.67095765954295,130.20859693053708,131.44673317968144,66905100,0.29781259573191665,1.377441333218474
2021-04-27,131.01776123046875,132.01217061234453,130.744788439507,131.6221988567553,66015800,-0.2449617860775466,1.3860909509220536
2021-04-28,130.2280731201172,131.6319415185454,129.74061964154626,130.93975103357886,107760100,-0.6027336316352216,1.3512630052397752
2021-04-29,130.13052368164062,133.63044954358537,129.1263711132292,133.0454996562476,151101000,-0.07490661279045963,1.3205645087841813
2021-04-30,128.1612548828125,130.20855024381436,127.78104182463377,128.47321732434253,109839500,-1.5133027541223698,1.3897390909941532
2021-05-03,129.21417236328125,130.70579381831388,128.52199669631204,128.72671884393358,75135100,0.8215567812842606,1.3128061847280519
2021-05-04,124.641845703125,128.19051366277054,123.52070128030383,127.89803861753046,137564700,-3.5385643668415123,1.5644040911197774
2021-05-05,124.88556671142578,127.17658876003664,124.75882406746234,125.95795526314878,84000900,0.19553706616417532,1.5364696894632226
2021-05-06,126.48445129394531,126.49419500952703,123.9399357544084,124.6808672259151,78128300,1.280279718963917,1.5008330661126605
