date,news_count,avg_sentiment,sentiment
2022-08-20,5,0.31,"{'positive': 3, 'neutral': 2}"
2022-08-21,4,0.421875,"{'positive': 2, 'negative': 1, 'neutral': 1}"
2022-08-22,17,0.07093837535014007,"{'positive': 7, 'neutral': 6, 'negative': 4}"
2022-08-23,19,0.27769423558897244,"{'neutral': 9, 'positive': 8, 'negative': 2}"
2022-08-24,12,0.08172198172198171,"{'neutral': 5, 'positive': 5, 'negative': 2}"
2022-08-25,14,0.46488095238095234,"{'positive': 8, 'neutral': 5, 'negative': 1}"
2022-08-26,20,0.28833333333333333,"{'positive': 10, 'neutral': 7, 'negative': 3}"
2022-08-27,5,0.33714285714285713,"{'positive': 3, 'neutral': 2}"
2022-08-28,3,0.03703703703703704,"{'neutral': 2, 'positive': 1}"
2022-08-29,24,0.12559636544011543,"{'positive': 12, 'neutral': 7, 'negative': 5}"
2022-08-30,19,0.08079922027290448,"{'neutral': 9, 'positive': 6, 'negative': 4}"
2022-08-31,16,0.21145833333333333,"{'neutral': 9, 'positive': 6, 'negative': 1}"
2022-09-01,18,0.201984126984127,"{'positive': 11, 'neutral': 6, 'negative': 1}"
2022-09-02,15,0.12944444444444445,"{'neutral': 9, 'positive': 5, 'negative': 1}"
2022-09-03,3,0.6666666666666666,"{'positive': 2, 'neutral': 1}"
2022-09-04,1,1.0,{'positive': 1}
2022-09-05,4,0.5,"{'positive': 2, 'neutral': 2}"
2022-09-06,21,0.06825396825396826,"{'neutral': 13, 'positive': 5, 'negative': 3}"
2022-09-07,25,0.2337828282828283,"{'neutral': 14, 'positive': 9, 'negative': 2}"
2022-09-08,22,0.31074380165289256,"{'positive': 12, 'neutral': 10}"
2022-09-09,21,0.32117604617604617,"{'positive': 10, 'neutral': 9, 'negative': 2}"
2022-09-10,3,0.26666666666666666,"{'neutral': 2, 'positive': 1}"
2022-09-11,2,-0.04403409090909091,{'neutral': 2}
2022-09-12,14,0.49166666666666664,"{'positive': 10, 'neutral': 3, 'negative': 1}"
2022-09-13,26,0.03146853146853147,"{'neutral': 13, 'positive': 8, 'negative': 5}"
2022-09-14,26,0.21518065268065267,"{'neutral': 14, 'positive': 11, 'negative': 1}"
2022-09-15,18,-0.02711640211640211,"{'neutral': 10, 'positive': 5, 'negative': 3}"
2022-09-16,10,0.13666666666666666,"{'neutral': 5, 'positive': 4, 'negative': 1}"
2022-09-17,4,0.25,"{'neutral': 3, 'positive': 1}"
2022-09-18,1,0.0,{'neutral': 1}
2022-09-19,17,0.13656417112299465,"{'neutral': 8, 'positive': 5, 'negative': 4}"
2022-09-20,19,0.2701754385964912,"{'neutral': 9, 'positive': 9, 'negative': 1}"
2022-09-21,12,0.3673611111111111,"{'positive': 7, 'neutral': 5}"
2022-09-22,21,0.2518140589569161,"{'positive': 12, 'neutral': 6, 'negative': 3}"
2022-09-23,18,0.2064814814814815,"{'neutral': 9, 'positive': 7, 'negative': 2}"
2022-09-24,2,0.0,{'neutral': 2}
2022-09-25,3,0.16666666666666666,"{'neutral': 2, 'positive': 1}"
2022-09-26,24,0.22430555555555554,"{'neutral': 12, 'positive': 10, 'negative': 2}"
2022-09-27,24,0.31966540404040406,"{'neutral': 11, 'positive': 11, 'negative': 2}"
2022-09-28,36,0.2837962962962963,"{'positive': 18, 'neutral': 16, 'negative': 2}"
2022-09-29,27,0.04151234567901234,"{'neutral': 13, 'positive': 8, 'negative': 6}"
2022-09-30,15,-0.021111111111111112,"{'neutral': 10, 'positive': 3, 'negative': 2}"
2022-10-01,5,0.05714285714285714,"{'neutral': 4, 'positive': 1}"
2022-10-02,2,0.25,"{'positive': 1, 'neutral': 1}"
2022-10-03,21,0.4966931216931217,"{'positive': 13, 'neutral': 7, 'negative': 1}"
2022-10-04,28,0.2884070294784581,"{'positive': 13, 'neutral': 10, 'negative': 5}"
2022-10-05,24,0.5050925925925925,"{'positive': 14, 'neutral': 10}"
2022-10-06,14,0.08181989967704253,"{'positive': 7, 'neutral': 4, 'negative': 3}"
2022-10-07,15,0.14962481962481963,"{'positive': 7, 'neutral': 6, 'negative': 2}"
2022-10-08,8,0.2625,"{'neutral': 5, 'positive': 3}"
2022-10-09,2,0.15,"{'positive': 1, 'neutral': 1}"
2022-10-10,12,0.25300324675324676,"{'positive': 7, 'neutral': 4, 'negative': 1}"
2022-10-11,14,0.07738095238095237,"{'positive': 7, 'negative': 4, 'neutral': 3}"
2022-10-12,17,0.6826797385620915,"{'positive': 13, 'neutral': 4}"
2022-10-13,19,0.27679235968709653,"{'positive': 9, 'neutral': 8, 'negative': 2}"
2022-10-14,11,0.22218614718614715,"{'positive': 6, 'neutral': 5}"
2022-10-15,5,0.3,"{'neutral': 3, 'positive': 2}"
2022-10-16,4,0.25,"{'neutral': 3, 'positive': 1}"
2022-10-17,23,0.44130434782608696,"{'positive': 13, 'neutral': 10}"
2022-10-18,22,0.4407943067033976,"{'positive': 12, 'neutral': 9, 'negative': 1}"
2022-10-19,12,0.2791666666666667,"{'positive': 5, 'neutral': 4, 'negative': 3}"
2022-10-20,14,0.20952380952380953,"{'positive': 7, 'neutral': 6, 'negative': 1}"
2022-10-21,20,0.11583333333333334,"{'neutral': 12, 'positive': 6, 'negative': 2}"
2022-10-22,2,1.0,{'positive': 2}
2022-10-23,5,0.0,"{'neutral': 3, 'positive': 1, 'negative': 1}"
2022-10-24,23,0.21775362318840583,"{'neutral': 12, 'positive': 8, 'negative': 3}"
2022-10-25,31,0.27612414467253177,"{'positive': 14, 'neutral': 13, 'negative': 4}"
2022-10-26,24,0.09692460317460318,"{'positive': 13, 'negative': 8, 'neutral': 3}"
2022-10-27,34,0.34753911665676374,"{'positive': 19, 'neutral': 11, 'negative': 4}"
2022-10-28,30,0.15365079365079365,"{'positive': 13, 'neutral': 11, 'negative': 6}"
2022-10-29,7,0.12410714285714286,"{'neutral': 4, 'positive': 3}"
2022-10-30,3,0.0,{'neutral': 3}
2022-10-31,25,0.040761904761904756,"{'neutral': 15, 'positive': 7, 'negative': 3}"
2022-11-01,13,0.07350427350427349,"{'neutral': 8, 'positive': 3, 'negative': 2}"
2022-11-02,15,0.13824074074074075,"{'positive': 8, 'neutral': 5, 'negative': 2}"
2022-11-03,19,0.19250905040378727,"{'positive': 9, 'neutral': 7, 'negative': 3}"
2022-11-04,14,0.1318181818181818,"{'neutral': 8, 'positive': 6}"
2022-11-05,3,0.3541666666666667,"{'neutral': 2, 'positive': 1}"
2022-11-06,6,0.041666666666666664,"{'neutral': 5, 'positive': 1}"
2022-11-07,19,0.3877192982456141,"{'positive': 12, 'neutral': 6, 'negative': 1}"
2022-11-08,15,0.0564983164983165,"{'neutral': 8, 'positive': 5, 'negative': 2}"
2022-11-09,20,-0.15833333333333335,"{'neutral': 10, 'negative': 6, 'positive': 4}"
2022-11-10,22,0.5293470418470418,"{'positive': 15, 'neutral': 5, 'negative': 2}"
2022-11-11,21,0.5066468253968254,"{'positive': 13, 'neutral': 7, 'negative': 1}"
2022-11-12,2,0.0,{'neutral': 2}
2022-11-13,3,0.8333333333333334,{'positive': 3}
2022-11-14,17,0.10626750700280112,"{'neutral': 11, 'positive': 5, 'negative': 1}"
2022-11-15,12,0.05833333333333333,"{'neutral': 7, 'positive': 3, 'negative': 2}"
2022-11-16,12,0.40902777777777777,"{'positive': 7, 'neutral': 5}"
2022-11-17,15,0.24555555555555558,"{'neutral': 7, 'positive': 7, 'negative': 1}"
2022-11-18,16,0.28125,"{'neutral': 9, 'positive': 6, 'negative': 1}"
2022-11-19,3,0.5,"{'positive': 2, 'neutral': 1}"
2022-11-20,5,0.33999999999999997,"{'positive': 3, 'neutral': 2}"
2022-11-21,11,-0.051515151515151514,"{'neutral': 7, 'positive': 2, 'negative': 2}"
2022-11-22,19,0.35538847117794486,"{'positive': 11, 'neutral': 7, 'negative': 1}"
2022-11-23,16,0.16966145833333335,"{'neutral': 8, 'positive': 6, 'negative': 2}"
2022-11-24,7,0.32413419913419916,"{'positive': 5, 'neutral': 1, 'negative': 1}"
2022-11-25,20,0.2036111111111111,"{'neutral': 9, 'positive': 8, 'negative': 3}"
2022-11-26,2,0.165625,"{'positive': 1, 'neutral': 1}"
2022-11-28,32,-0.014453124999999999,"{'neutral': 13, 'negative': 10, 'positive': 9}"
2022-11-29,25,0.14149206349206347,"{'neutral': 13, 'positive': 8, 'negative': 4}"
2022-11-30,22,0.3136453823953824,"{'neutral': 13, 'positive': 8, 'negative': 1}"
2022-12-01,25,0.34883333333333333,"{'positive': 13, 'neutral': 8, 'negative': 4}"
2022-12-02,23,0.2726331639375118,"{'positive': 13, 'neutral': 8, 'negative': 2}"
2022-12-03,5,0.16666666666666669,"{'neutral': 3, 'negative': 1, 'positive': 1}"
2022-12-04,9,0.14285714285714285,"{'neutral': 6, 'positive': 3}"
2022-12-05,15,0.218023088023088,"{'neutral': 8, 'positive': 7}"
2022-12-06,19,0.039097744360902256,"{'neutral': 11, 'positive': 5, 'negative': 3}"
2022-12-07,25,0.0686060606060606,"{'neutral': 12, 'positive': 8, 'negative': 5}"
2022-12-08,23,0.4924430641821946,"{'positive': 13, 'neutral': 10}"
2022-12-09,9,0.3333333333333333,"{'positive': 5, 'neutral': 4}"
2022-12-10,3,0.6666666666666666,"{'positive': 2, 'neutral': 1}"
2022-12-11,4,0.04642857142857142,"{'neutral': 3, 'positive': 1}"
2022-12-12,13,0.2805860805860806,"{'positive': 8, 'neutral': 3, 'negative': 2}"
2022-12-13,10,0.12050000000000001,"{'positive': 4, 'neutral': 4, 'negative': 2}"
2022-12-14,12,0.075,"{'neutral': 8, 'positive': 3, 'negative': 1}"
2022-12-15,19,0.11955172020961495,"{'positive': 9, 'neutral': 8, 'negative': 2}"
2022-12-16,15,0.341022126022126,"{'positive': 9, 'neutral': 6}"
2022-12-17,5,0.27999999999999997,"{'neutral': 3, 'positive': 2}"
2022-12-18,5,0.5571428571428572,"{'positive': 4, 'neutral': 1}"
2022-12-19,16,0.08046875,"{'positive': 8, 'negative': 5, 'neutral': 3}"
2022-12-20,11,0.19848484848484851,"{'positive': 5, 'neutral': 5, 'negative': 1}"
2022-12-21,14,0.3416666666666667,"{'positive': 8, 'neutral': 5, 'negative': 1}"
2022-12-22,16,0.15892857142857142,"{'neutral': 11, 'positive': 5}"
2022-12-23,13,0.2555555555555556,"{'neutral': 6, 'positive': 6, 'negative': 1}"
2022-12-24,3,-0.3333333333333333,"{'neutral': 2, 'negative': 1}"
2022-12-25,3,0.4271604938271605,{'positive': 3}
2022-12-26,5,0.2,"{'neutral': 4, 'positive': 1}"
2022-12-27,21,0.3797017797017797,"{'positive': 11, 'neutral': 7, 'negative': 3}"
2022-12-28,22,0.1794667453758363,"{'positive': 13, 'neutral': 6, 'negative': 3}"
2022-12-29,21,0.4880952380952381,"{'positive': 12, 'neutral': 9}"
2022-12-30,22,0.07424242424242423,"{'neutral': 10, 'positive': 8, 'negative': 4}"
2022-12-31,5,0.6,"{'positive': 3, 'neutral': 2}"
2023-01-01,2,-0.07777777777777778,"{'negative': 1, 'neutral': 1}"
2023-01-02,11,0.26720779220779217,"{'positive': 6, 'neutral': 5}"
2023-01-03,29,0.15382892969099865,"{'positive': 15, 'neutral': 10, 'negative': 4}"
2023-01-04,22,0.24411321002230094,"{'neutral': 10, 'positive': 10, 'negative': 2}"
2023-01-05,17,0.08790849673202615,"{'neutral': 8, 'positive': 6, 'negative': 3}"
2023-01-06,17,0.3907096171802054,"{'positive': 12, 'negative': 3, 'neutral': 2}"
2023-01-07,7,0.1357142857142857,"{'neutral': 5, 'positive': 2}"
2023-01-08,2,0.024999999999999994,{'neutral': 2}
2023-01-09,19,0.08451621477937267,"{'neutral': 12, 'positive': 5, 'negative': 2}"
